,Symbol,Company Name,CMP
105,JINDALSTEL.NS,Jindal Steel & Power Limited,397.3999939
106,GICRE.NS,General Insurance Corporation of India,200
107,MRF.NS,MRF Limited,84471
108,HINDPETRO.NS,Hindustan Petroleum Corporation Limited,287.6499939
109,MINDTREE.NS,MindTree Limited,2371.050049
110,3MINDIA.NS,3M India Limited,26261.80078
111,PIIND.NS,PI Industries Limited,2676.449951
112,PAGEIND.NS,Page Industries Limited,30470.44922
113,PETRONET.NS,Petronet LNG Limited,247
114,ASHOKLEY.NS,Ashok Leyland Limited,124.3499985
115,HAL.NS,Hindustan Aeronautics Limited,1049.099976
116,MPHASIS.NS,MphasiS Limited,1919.699951
117,VOLTAS.NS,Voltas Limited,1111.550049
118,ALKEM.NS,Alkem Laboratories Limited,3178.449951
119,TATAPOWER.NS,Tata Power Company Limited,108.6500015
120,UBL.NS,United Breweries Limited,1267.25
121,ADANIPOWER.NS,Adani Power Limited,100.75
122,BALKRISIND.NS,Balkrishna Industries Limited,2218.899902
123,SAIL.NS,Steel Authority of India Limited,122.3499985
124,ASTRAL.NS,Astral Poly Technik Limited,1892
125,KANSAINER.NS,Kansai Nerolac Paints Limited,575.2000122
126,SRF.NS,SRF Limited,6586.25
127,IDFCFIRSTB.NS,IDFC First Bank Limited,60.65000153
128,BEL.NS,Bharat Electronics Limited,151.1999969
129,TATACOMM.NS,Tata Communications Limited,1121.699951
130,PFC.NS,Power Finance Corporation Limited,120.75
131,IRFC.NS,Indian Railway Finance Corporation Limited,23.60000038
132,ABB.NS,ABB India Limited,1691.949951
133,DALBHARAT.NS,Dalmia Bharat Limited,1788.099976
134,MFSL.NS,Max Financial Services Limited,959.0499878
135,VBL.NS,Varun Beverages Limited,1027.949951
136,ABCAPITAL.NS,Aditya Birla Capital Limited,124.0999985
137,SUNDARMFIN.NS,Sundaram Finance Limited,2527.949951
138,WHIRLPOOL.NS,Whirlpool of India Limited,2197.449951
139,IRCTC.NS,Indian Railway Catering And Tourism Corporation Limited,1921.800049
140,LTTS.NS,L&T Technology Services Limited,2701.649902
141,TVSMOTOR.NS,TVS Motor Company Limited,624.9000244
142,BHARATFORG.NS,Bharat Forge Limited,695.9000244
143,OFSS.NS,Oracle Financial Services Software Limited,3532.800049
144,TRENT.NS,Trent Limited,854.75
145,IDEA.NS,Vodafone Idea Limited,9.350000381
146,IOB.NS,Indian Overseas Bank,17.5
147,SUPREMEIND.NS,Supreme Industries Limited,2267.649902
148,RECLTD.NS,REC Limited,148.1499939
149,CUMMINSIND.NS,Cummins India Limited,809.0499878
150,NIACL.NS,The New India Assurance Company Limited,169.4499969
151,CANBK.NS,Canara Bank,163.25
152,CROMPTON.NS,Crompton Greaves Consumer Electricals Limited,410
153,M&MFIN.NS,Mahindra & Mahindra Financial Services Limited,162.8500061
154,NHPC.NS,NHPC Limited,25.95000076
155,GLAXO.NS,GlaxoSmithKline Pharmaceuticals Limited,1520.650024
156,IPCALAB.NS,IPCA Laboratories Limited,2088.25
157,L&TFH.NS,L&T Finance Holdings Limited,93.40000153
158,RAMCOCEM.NS,The Ramco Cements Limited,985.8499756
159,INDIAMART.NS,Indiamart Intermesh Limited,6895.25
160,TIINDIA.NS,Tube Investments of India Limited,1194.050049
161,AARTIIND.NS,Aarti Industries Limited,1673.900024
162,COROMANDEL.NS,Coromandel International Limited,810.5
163,DEEPAKNTR.NS,Deepak Nitrite Limited,1740.25
164,LALPATHLAB.NS,Dr. Lal Path Labs Ltd.,2899.100098
165,JKCEMENT.NS,JK Cement Limited,2843.800049
166,BANKINDIA.NS,Bank of India,80.19999695
167,UNIONBANK.NS,Union Bank of India,35.40000153
168,RELAXO.NS,Relaxo Footwears Limited,1079.949951
169,SYNGENE.NS,Syngene International Limited,589.25
170,LICHSGFIN.NS,LIC Housing Finance Limited,499.6000061
171,EMAMILTD.NS,Emami Limited,548.5999756
172,DIXON.NS,Dixon Technologies (India) Limited,4324.25
173,ATUL.NS,Atul Limited,8555.900391
174,OBEROIRLTY.NS,Oberoi Realty Limited,661.4500122
175,NAM-INDIA.NS,Nippon Life India Asset Management Limited,368
176,PFIZER.NS,Pfizer Limited,5196.399902
177,POLYCAB.NS,Polycab India Limited,1678.849976
178,ENDURANCE.NS,Endurance Technologies Limited,1501.699951
179,TORNTPOWER.NS,Torrent Power Limited,439.3500061
180,MAXHEALTH.NS,Max Healthcare Institute Limited,244.8999939
181,ZEEL.NS,Zee Entertainment Enterprises Limited,219.6000061
182,LAURUSLABS.NS,Laurus Labs Limited,537.3499756
183,AIAENG.NS,AIA Engineering Limited,1949.099976
184,GILLETTE.NS,Gillette India Limited,5623.950195
185,TATACHEM.NS,Tata Chemicals Limited,727.75
186,AAVAS.NS,Aavas Financiers Limited,2304.300049
187,RUCHI.NS,Ruchi Soya Industries Limited,1138.349976
188,APLLTD.NS,Alembic Pharmaceuticals Limited,953.7999878
189,SUNTV.NS,Sun TV Network Limited,526
190,GODREJIND.NS,Godrej Industries Limited,527.0999756
191,SANOFI.NS,Sanofi India Limited,7764.950195
192,BATAINDIA.NS,Bata India Limited,1550.699951
193,COFORGE.NS,Coforge Limited,3644.449951
194,APLAPOLLO.NS,APL Apollo Tubes Limited,1334.349976
195,ESCORTS.NS,Escorts Limited,1216.050049
196,ABFRL.NS,Aditya Birla Fashion and Retail Limited,197.1499939
197,SCHAEFFLER.NS,Schaeffler India Limited,5215.149902
198,BHEL.NS,Bharat Heavy Electricals Limited,72.34999847
199,SUNDRMFAST.NS,Sundram Fasteners Limited,787.75
200,TATAELXSI.NS,Tata Elxsi Limited,3568.75
201,THERMAX.NS,Thermax Limited,1505.449951
202,HATSUN.NS,Hatsun Agro Product Limited,856.75
203,EXIDEIND.NS,Exide Industries Limited,192.8500061
204,AJANTPHARM.NS,Ajanta Pharma Limited,1929.800049
205,GSPL.NS,Gujarat State Petronet Limited,286.6499939
206,LINDEINDIA.NS,Linde India Limited,1607.449951
207,FEDERALBNK.NS,The Federal Bank  Limited,88
208,NATCOPHARM.NS,Natco Pharma Limited,1045.050049
209,FORTIS.NS,Fortis Healthcare Limited,227.25
210,KAJARIACER.NS,Kajaria Ceramics Limited,997.9000244
211,MINDAIND.NS,Minda Industries Limited,589.8499756
212,PERSISTENT.NS,Persistent Systems Limited,2412.550049
213,GMRINFRA.NS,GMR Infrastructure Limited,26.14999962
214,AMARAJABAT.NS,Amara Raja Batteries Limited,752.7999878
215,SUMICHEM.NS,Sumitomo Chemical India Limited,365.2000122
216,JSWENERGY.NS,JSW Energy Limited,136.1499939
217,VINATIORGA.NS,Vinati Organics Limited,1781.599976
218,APOLLOTYRE.NS,Apollo Tyres Limited,230.8999939
219,RAJESHEXPO.NS,Rajesh Exports Limited,524.25
220,AFFLE.NS,Affle (India) Limited,5377.899902
221,MAHABANK.NS,Bank of Maharashtra,25.70000076
222,NAVINFLUOR.NS,Navin Fluorine International Limited,3168.199951
223,PHOENIXLTD.NS,The Phoenix Mills Limited,861.7999878
224,CRISIL.NS,CRISIL Limited,2042.800049
225,OIL.NS,Oil India Limited,139.6999969
226,BLUEDART.NS,Blue Dart Express Limited,6060.049805
227,INDHOTEL.NS,The Indian Hotels Company Limited,135.3999939
228,GLENMARK.NS,Glenmark Pharmaceuticals Limited,616.4500122
229,INDIANB.NS,Indian Bank,146.6000061
230,SUVENPHAR.NS,Suven Pharmaceuticals Limited,519.4500122
231,MANAPPURAM.NS,Manappuram Finance Limited,164.5
232,ZYDUSWELL.NS,Zydus Wellness Limited,2083.75
233,VAIBHAVGBL.NS,Vaibhav Global Limited,821.9500122
234,WABCOINDIA.NS,WABCO India Limited,6854.049805
235,RBLBANK.NS,RBL Bank Limited,218.8500061
236,CASTROLIND.NS,Castrol India Limited,133.9499969
237,ISEC.NS,ICICI Securities Limited,603
238,PRESTIGE.NS,Prestige Estates Projects Limited,287.75
239,ALKYLAMINE.NS,Alkyl Amines Chemicals Limited,3592.399902
240,SOLARINDS.NS,Solar Industries India Limited,1578.199951
241,MGL.NS,Mahanagar Gas Limited,1187.300049
242,CUB.NS,City Union Bank Limited,167.25
243,METROPOLIS.NS,Metropolis Healthcare Limited,2452.850098
244,INDIGOPNTS.NS,Indigo Paints Limited,2542.699951
245,CHOLAHLDNG.NS,Cholamandalam Financial Holdings Limited,674.1500244
246,BAJAJELEC.NS,Bajaj Electricals Limited,1069.800049
247,AMBER.NS,Amber Enterprises India Limited,2788
248,SKFINDIA.NS,SKF India Limited,2417.149902
249,TANLA.NS,Tanla Platforms Limited,897.7999878
250,HINDCOPPER.NS,Hindustan Copper Limited,161.8500061
251,UCOBANK.NS,UCO Bank,13.39999962
252,IIFLWAM.NS,Iifl Wealth Management Limited,1172.75
253,JUBLPHARMA.NS,Jubilant Pharmova Limited,843.0499878
254,VGUARD.NS,V-Guard Industries Limited,259.7000122
255,ITI.NS,ITI Limited,121.1500015
256,IIFL.NS,IIFL Finance Limited,260.5499878
257,KEC.NS,KEC International Limited,406.0499878
258,GRINDWELL.NS,Grindwell Norton Limited,1204.449951
259,AEGISCHEM.NS,Aegis Logistics Limited,374.75
260,AKZOINDIA.NS,Akzo Nobel India Limited,2269.399902
261,CREDITACC.NS,CREDITACCESS GRAMEEN LIMITED,690
262,QUESS.NS,Quess Corp Limited,716.0499878
263,PGHL.NS,Procter & Gamble Health Limited,5837.700195
264,SJVN.NS,SJVN Limited,27.54999924
265,NATIONALUM.NS,National Aluminium Company Limited,73.05000305
266,GODREJAGRO.NS,Godrej Agrovet Limited,563.4500122
267,TTKPRESTIG.NS,TTK Prestige Limited,8847.700195
268,ALOKINDS.NS,Alok Industries Limited,20.75
269,GRAPHITE.NS,Graphite India Limited,761.8499756
270,IEX.NS,Indian Energy Exchange Limited,357
271,INTELLECT.NS,Intellect Design Arena Limited,752.2999878
272,ORCHPHARMA.NS,Orchid Pharma Limited,1415.25
273,TIMKEN.NS,Timken India Limited,1322.949951
274,JBCHEPHARM.NS,JB Chemicals & Pharmaceuticals Limited,1507.949951
275,CARBORUNIV.NS,Carborundum Universal Limited,584.7999878
276,SFL.NS,Sheela Foam Limited,2038.900024
277,CENTRALBK.NS,Central Bank of India,20.75
278,CHAMBLFERT.NS,Chambal Fertilizers & Chemicals Limited,287.75
279,MOTILALOFS.NS,Motilal Oswal Financial Services Limited,794
280,IBULHSGFIN.NS,Indiabulls Housing Finance Limited,228.8000031
281,GALAXYSURF.NS,Galaxy Surfactants Limited,2985.75
282,SHRIRAMCIT.NS,Shriram City Union Finance Limited,1665.75
283,BLUESTARCO.NS,Blue Star Limited,837.8499756
284,BASF.NS,BASF India Limited,2526
285,CGPOWER.NS,CG Power and Industrial Solutions Limited,85.25
286,RATNAMANI.NS,Ratnamani Metals & Tubes Limited,2003.849976
287,DHANI.NS,Dhani Services Limited,177.3500061
288,SYMPHONY.NS,Symphony Limited,1073.449951
289,HUDCO.NS,Housing & Urban Development Corporation Limited,49.84999847
290,KIOCL.NS,KIOCL Limited,280.3999939
291,NBCC.NS,NBCC (India) Limited,48
292,NH.NS,Narayana Hrudayalaya Ltd.,487.8500061
293,ERIS.NS,Eris Lifesciences Limited,697.5499878
294,CANFINHOME.NS,Can Fin Homes Limited,542.0999756
295,ROUTE.NS,ROUTE MOBILE LIMITED,1721.449951
296,WELSPUNIND.NS,Welspun India Limited,94.09999847
297,JMFINANCIL.NS,JM Financial Limited,87.5
298,DBL.NS,Dilip Buildcon Limited,562.9500122
299,HAPPSTMNDS.NS,Happiest Minds Technologies Limited,903.3499756
300,FSL.NS,Firstsource Solutions Limited,148.6999969
301,FINPIPE.NS,Finolex Industries Limited,169.6999969
302,POLYMED.NS,Poly Medicure Limited,1009.400024
303,CESC.NS,CESC Limited,691.2999878
304,DCMSHRIRAM.NS,DCM Shriram Limited,721.3499756
305,BBTC.NS,Bombay Burmah Trading Corporation Limited,1292.550049
306,STLTECH.NS,Sterlite Technologies Limited,254.5
307,STAR.NS,Strides Pharma Science Limited,783.4500122
308,IDFC.NS,IDFC Limited,56.84999847
309,ASAHIINDIA.NS,Asahi India Glass Limited,342.6000061
310,ASTRAZEN.NS,AstraZeneca Pharma India Limited,3764.75
311,GRANULES.NS,Granules India Limited,323.3500061
312,RADICO.NS,Radico Khaitan Limited,645.4000244
313,VTL.NS,Vardhman Textiles Limited,1302.550049
314,EPL.NS,EPL Limited,250.3999939
315,PVR.NS,PVR Limited,1354.099976
316,REDINGTON.NS,Redington (India) Limited,240.8999939
317,UTIAMC.NS,UTI Asset Management Company Limited,758.1500244
318,KPRMILL.NS,K.P.R. Mill Limited,1546.650024
319,BIRLACORPN.NS,Birla Corporation Limited,1257.800049
320,LAXMIMACH.NS,Lakshmi Machine Works Limited,6575.200195
321,JCHAC.NS,Johnson Controls - Hitachi Air Conditioning India Limited,2226.25
322,TRIDENT.NS,Trident Limited,16.10000038
323,CYIENT.NS,Cyient Limited,803.0999756
324,CENTURYPLY.NS,Century Plyboards (India) Limited,411.25
325,BSOFT.NS,BIRLASOFT LIMITED,327.8999939
326,KALYANKJIL.NS,Kalyan Jewellers India Limited,71.09999847
327,FINEORG.NS,Fine Organic Industries Limited,2988
328,NLCINDIA.NS,NLC India Limited,60.70000076
329,ASTERDM.NS,Aster DM Healthcare Limited,146.6000061
330,EQUITASBNK.NS,Equitas Small Finance Bank Limited,60.90000153
331,CDSL.NS,Central Depository Services (India) Limited,967
332,MRPL.NS,Mangalore Refinery and Petrochemicals Limited,51.29999924
333,CGCL.NS,Capri Global Capital Limited,511.4500122
334,PNCINFRA.NS,PNC Infratech Limited,258.8999939
335,ORIENTELEC.NS,Orient Electric Limited,301.1000061
336,PRSMJOHNSN.NS,Prism Johnson Limited,136.8999939
337,AARTIDRUGS.NS,Aarti Drugs Limited,758.0999756
338,TEAMLEASE.NS,Teamlease Services Limited,3450.100098
339,MMTC.NS,MMTC Limited,57.5
340,FLUOROCHEM.NS,Gujarat Fluorochemicals Limited,1004.5
341,INFIBEAM.NS,Infibeam Avenues Limited,51.25
342,PNBHOUSING.NS,PNB Housing Finance Limited,763.1500244
343,CEATLTD.NS,CEAT Limited,1341.849976
344,GMMPFAUDLR.NS,GMM Pfaudler Limited,4911.049805
345,SUNCLAYLTD.NS,Sundaram Clayton Limited,3702.899902
346,ZENSARTECH.NS,Zensar Technologies Limited,285.1000061
347,MAHINDCIE.NS,Mahindra CIE Automotive Limited,208.6999969
348,BDL.NS,Bharat Dynamics Limited,368.2000122
349,RVNL.NS,Rail Vikas Nigam Limited,29.79999924
350,ELGIEQUIP.NS,Elgi Equipments Limited,211.3000031
351,KNRCON.NS,KNR Constructions Limited,223.75
352,SEQUENT.NS,Sequent Scientific Limited,263.8999939
353,VAKRANGEE.NS,Vakrangee Limited,43.90000153
354,EDELWEISS.NS,Edelweiss Financial Services Limited,67.44999695
355,BRIGADE.NS,Brigade Enterprises Limited,269.3500061
356,FINCABLES.NS,Finolex Cables Limited,457.25
357,EIHOTEL.NS,EIH Limited,110.5500031
358,POWERINDIA.NS,ABB Power Products and Systems India Limited,1897.349976
359,RITES.NS,RITES Limited,248
360,SIS.NS,SIS LIMITED,443.2000122
361,TATASTLBSL.NS,Tata Steel Bsl Limited,95.15000153
362,BALAMINES.NS,Balaji Amines Limited,2700.600098
363,HEG.NS,HEG Limited,2215.300049
364,AVANTIFEED.NS,Avanti Feeds Limited,607.3499756
365,EIDPARRY.NS,EID Parry India Limited,423.1000061
366,KALPATPOWR.NS,Kalpataru Power Transmission Limited,429.8500061
367,VMART.NS,V-Mart Retail Limited,2778.5
368,ROSSARI.NS,Rossari Biotech Limited,1269.550049
369,SONATSOFTW.NS,Sonata Software Limited,681.25
370,JUSTDIAL.NS,Just Dial Limited,930.5499878
371,HEIDELBERG.NS,HeidelbergCement India Limited,252.4499969
372,GARFIBRES.NS,Garware Technical Fibres Limited,2861.600098
373,UJJIVANSFB.NS,Ujjivan Small Finance Bank Limited,30.20000076
374,TATAINVEST.NS,Tata Investment Corporation Limited,1087.800049
375,VSTIND.NS,VST Industries Limited,3333.149902
376,BEML.NS,BEML Limited,1304.550049
377,CENTURYTEX.NS,Century Textiles & Industries Limited,504.5
378,INDIACEM.NS,The India Cements Limited,189.1000061
379,SCI.NS,Shipping Corporation Of India Limited,115.6500015
380,JKLAKSHMI.NS,JK Lakshmi Cement Limited,549.3499756
381,CERA.NS,Cera Sanitaryware Limited,4054.550049
382,JYOTHYLAB.NS,Jyothy Labs Limited,157.1000061
383,VIPIND.NS,VIP Industries Limited,387.4500122
384,SOLARA.NS,Solara Active Pharma Sciences Limited,1746.599976
385,TV18BRDCST.NS,TV18 Broadcast Limited,41.79999924
386,COCHINSHIP.NS,Cochin Shipyard Limited,383.7999878
387,BURGERKING.NS,Burger King India Limited,149.8000031
388,VARROC.NS,Varroc Engineering Limited,430.1000061
389,RALLIS.NS,Rallis India Limited,318.8999939
390,ANURAS.NS,Anupam Rasayan India Limited,774.9500122
391,KPITTECH.NS,KPIT Technologies Limited,239.75
392,FDC.NS,FDC Limited,336.9500122
393,NCC.NS,NCC Limited,81.59999847
394,RAIN.NS,Rain Industries Limited,180.8999939
395,THYROCARE.NS,Thyrocare Technologies Limited,1045
396,GODFRYPHLP.NS,Godfrey Phillips India Limited,913.2999878
397,KEI.NS,KEI Industries Limited,664.2999878
398,GPPL.NS,Gujarat Pipavav Port Limited,105
399,GNFC.NS,Gujarat Narmada Valley Fertilizers and Chemicals Limited,387.2999878
400,MASFIN.NS,MAS Financial Services Limited,913
401,LXCHEM.NS,Laxmi Organic Industries Limited,222.6999969
402,GESHIP.NS,The Great Eastern Shipping Company Limited,431.0499878
403,PRINCEPIPE.NS,Prince Pipes And Fittings Limited,705.4000244
404,WOCKPHARMA.NS,Wockhardt Limited,654.4500122
405,HATHWAY.NS,Hathway Cable & Datacom Limited,25.70000076
406,BALRAMCHIN.NS,Balrampur Chini Mills Limited,312.8500061
407,IFBIND.NS,IFB Industries Limited,1149.699951
408,NAZARA.NS,Nazara Technologies Limited,1699.449951
409,RESPONIND.NS,Responsive Industries Limited,148.1499939
410,KARURVYSYA.NS,Karur Vysya Bank Limited,55.75
411,LUXIND.NS,Lux Industries Limited,3249.600098
412,ENGINERSIN.NS,Engineers India Limited,84.90000153
413,DELTACORP.NS,Delta Corp Limited,177.6999969
414,MAZDOCK.NS,Mazagon Dock Shipbuilders Limited,217.1499939
415,RCF.NS,Rashtriya Chemicals and Fertilizers Limited,82.25
416,JSWHL.NS,JSW Holdings Limited,5883.649902
417,SUZLON.NS,Suzlon Energy Limited,7.050000191
418,KRBL.NS,KRBL Limited,228.5
419,MAHLOG.NS,Mahindra Logistics Limited,544.3499756
420,IRCON.NS,Ircon International Limited,46.95000076
421,SWSOLAR.NS,Sterling And Wilson Solar Limited,240.3999939
422,SOBHA.NS,Sobha Limited,513.5999756
423,JUBLINGREA.NS,Jubilant Ingrevia Limited,521.8499756
424,SUNTECK.NS,Sunteck Realty Limited,300.3500061
425,MAHSCOOTER.NS,Maharashtra Scooters Limited,3798.600098
426,RAILTEL.NS,Railtel Corporation Of India Limited,130.8500061
427,CSBBANK.NS,CSB Bank Limited,327.7999878
428,BHARATRAS.NS,Bharat Rasayan Limited,12959.2998
429,STARCEMENT.NS,Star Cement Limited,109.4000015
430,SUPPETRO.NS,Supreme Petrochem Limited,781.2999878
431,HOMEFIRST.NS,Home First Finance Company India Limited,562.8499756
432,HEMIPROP.NS,Hemisphere Properties India Limited,140.1000061
433,SPANDANA.NS,Spandana Sphoorty Financial Limited,684.9500122
434,AGCNET.NS,AGC Networks Limited,1404
435,INDOSTAR.NS,IndoStar Capital Finance Limited,377.8999939
436,ADVENZYMES.NS,Advanced Enzyme Technologies Limited,416
437,SUPRAJIT.NS,Suprajit Engineering Limited,282.8500061
438,ECLERX.NS,eClerx Services Limited,1268.699951
439,BAJAJCON.NS,Bajaj Consumer Care Limited,286
440,IRB.NS,IRB Infrastructure Developers Limited,128.6499939
441,NETWORK18.NS,Network18 Media & Investments Limited,40.70000076
442,FACT.NS,Fertilizers and Chemicals Travancore Limited,123.3499985
443,SPARC.NS,Sun Pharma Advanced Research Company Limited,227.0500031
444,NESCO.NS,Nesco Limited,549.5999756
445,IBREALEST.NS,Indiabulls Real Estate Limited,106.25
446,TASTYBITE.NS,Tasty Bite Eatables Limited,15637.7002
447,TCIEXP.NS,TCI Express Limited,1484.449951
448,GULFOILLUB.NS,Gulf Oil Lubricants India Limited,699.0499878
449,WELCORP.NS,Welspun Corp Limited,148.8999939
450,HGS.NS,Hinduja Global Solutions Limited,2029.550049
451,SUDARSCHEM.NS,Sudarshan Chemical Industries Limited,689.1500244
452,MOIL.NS,MOIL Limited,182.9499969
453,PRAJIND.NS,Praj Industries Limited,365.0499878
454,TATASTLLP.NS,Tata Steel Long Products Limited,926.0499878
455,TECHNOE.NS,Techno Electric & Engineering Company Limited,338.2000122
456,PAISALO.NS,Paisalo Digital Limited,619.9500122
457,PRIVISCL.NS,Privi Speciality Chemicals Limited,
458,MIDHANI.NS,Mishra Dhatu Nigam Limited,194.1000061
459,SWANENERGY.NS,Swan Energy Limited,136.3500061
460,ITDC.NS,India Tourism Development Corporation Limited,386.75
461,JSL.NS,Jindal Stainless Limited,94
462,TRITURBINE.NS,Triveni Turbine Limited,113.25
463,PHILIPCARB.NS,Phillips Carbon Black Limited,226.1000061
464,JINDALPOLY.NS,Jindal Poly Films Limited,802.0499878
